fixture_id,event_id,avg_offense_distance_to_goal,avg_defense_distance_to_goal,shooter_distance_to_goal,shooter_distance_to_goalkeeper,goalkeeper_distance_to_goal,ball_distance_to_goal,ball_distance_to_goalkeeper,shot_angle_to_goal,ball_angle_to_goal,angle_ball_to_goalkeeper
02ea68cb-5ca6-11f0-a329-51a43a77a48d,1ad360e0-a778-11f0-9f92-413ac7416675,26.217087084060605,9.895074592738657,7.118076495795757,4.264630581891003,2.8754590937796354,6.90402925833893,4.033874688187524,5.867804676424257,5.8558548078987815,0.03308252858475516
02ea68cb-5ca6-11f0-a329-51a43a77a48d,335332d1-a778-11f0-9f92-413ac7416675,12.757253630208291,6.829126144572133,6.007139502292254,4.671036822804975,1.3490292806310786,5.513089968429683,4.164061118667687,0.42577293855793147,0.4302200376191999,0.0002250309379761772
02ea68cb-5ca6-11f0-a329-51a43a77a48d,3b5bee41-a778-11f0-9f92-413ac7416675,15.654324552774112,8.485499768396235,7.530688481141681,5.203299818384484,2.3273886654360068,6.805411964018049,4.479139426273758,0.2617333774813506,0.29878830743021023,0.013053678300923882
02ea68cb-5ca6-11f0-a329-51a43a77a48d,528223a1-a778-11f0-9f92-413ac7416675,12.981232169523734,8.24667189090544,6.37949504271302,3.649319936645731,2.733243677391388,5.831691521334098,3.203330298298944,0.273914647041277,0.3654760231084184,0.1737188409524511
02ea68cb-5ca6-11f0-a329-51a43a77a48d,6ac00a91-a778-11f0-9f92-413ac7416675,23.18581440833435,13.211506352604516,4.524188877577947,1.791662914724754,2.73719875054772,3.9435842833645633,1.6099888198369576,0.5640894530406464,0.533028777305748,0.5756675560091632
02ea68cb-5ca6-11f0-a329-51a43a77a48d,86bef121-a778-11f0-9f92-413ac7416675,13.031384150930164,6.900436164307614,9.527185628505409,7.969073848321398,1.5600256408149182,8.268359450338382,6.728152792557556,0.21311244702354692,0.2707854902875847,0.033235345096528535
02ea68cb-5ca6-11f0-a329-51a43a77a48d,a3fbaee1-a778-11f0-9f92-413ac7416675,13.954210606838481,7.732312209572771,7.073907124072241,3.7219222184242384,3.3520711507961756,6.816468367123844,3.5387921668275464,0.34645447966491805,0.3901067752777787,0.14311451116345095
02ea68cb-5ca6-11f0-a329-51a43a77a48d,bdb6bff1-a778-11f0-9f92-413ac7416675,,,,,,6.816468367123844,3.5387921668275464,0.34645447966491805,,0.14311451116345095
02ea68cb-5ca6-11f0-a329-51a43a77a48d,06270fb1-a779-11f0-9f92-413ac7416675,,,,,,6.816468367123844,3.5387921668275464,0.34645447966491805,,0.14311451116345095
02ea68cb-5ca6-11f0-a329-51a43a77a48d,0cd0d761-a779-11f0-9f92-413ac7416675,,,,,,6.816468367123844,3.5387921668275464,0.34645447966491805,,0.14311451116345095
02ea68cb-5ca6-11f0-a329-51a43a77a48d,32b68831-a779-11f0-9f92-413ac7416675,13.378382578801515,7.233832687748864,8.033408492041218,6.232166316779421,1.8020058268496255,6.864259683316184,5.063921997819476,0.19515410003039468,0.25314231456822445,0.013148365204414918
